date,mva_qld_simple_60,mva_jesse_60,mva_old_tech_60
2020-11-18,0.32094606859613356,0.3431529862772409,0.3359009451266256
2020-11-19,0.3184578397905153,0.344956013492411,0.3365861467170737
2020-11-20,0.3171010816884821,0.34593320866036936,0.33696570965114847
2020-11-23,0.3177794012679217,0.3456778061519569,0.33654279258012126
2020-11-24,0.31521682464533274,0.348298077985177,0.3364850973694902
2020-11-25,0.31479301995396525,0.34953430193157686,0.33567267811445783
2020-11-27,0.31632983608652804,0.34840684372145214,0.3352633201920199
2020-11-30,0.31698038918822835,0.34528921985080524,0.33773039096096635
2020-12-01,0.31712869133653004,0.34370348244581284,0.339167826217657
2020-12-02,0.3176810542307339,0.34295559238431916,0.33936335338494694
2020-12-03,0.3155994289410666,0.34322288682559404,0.34117768423333944
2020-12-04,0.3140997964867805,0.3431284931429516,0.34277171037026793
2020-12-07,0.31510066091599975,0.34276312390870717,0.3421362151752932
2020-12-08,0.31489725153434417,0.3433311057829796,0.3417716426826763
2020-12-09,0.3129847010046935,0.34554554791704734,0.3414697510782591
2020-12-10,0.3143743811468914,0.3457664263162024,0.33985919253690616
2020-12-11,0.31571657897557126,0.34425333536559616,0.3400300856588325
2020-12-14,0.31641670629296575,0.34388783533188144,0.3396954583751528
2020-12-15,0.31590355722033653,0.34349514392768343,0.3406012988519801
2020-12-16,0.3152001814916787,0.3436096706708617,0.34119014783745955
2020-12-17,0.31607561826925573,0.3429705239335633,0.34095385779718096
2020-12-18,0.31593868592096686,0.34300689287247976,0.34105442120655327
2020-12-21,0.3149243089552771,0.3437048717923879,0.3413708192523351
2020-12-22,0.3154510466743573,0.34382219246027174,0.340726760865371
2020-12-23,0.3150812533862354,0.3446930561460732,0.3402256904676913
2020-12-24,0.3144976472097173,0.34540651486977997,0.3400958379205028
2020-12-28,0.31488241345265117,0.34611760411898057,0.3389999824283682
2020-12-29,0.31681323541639345,0.34544616401070577,0.33774060057290084
2020-12-30,0.3162596481530804,0.34437755841413786,0.3393627934327818
2020-12-31,0.31733186087405024,0.3431509144190466,0.3395172247069032
2021-01-04,0.3170544585086113,0.3426361645512675,0.34030937694012103
2021-01-05,0.3166808753884764,0.3428442333817489,0.34047489122977476
2021-01-06,0.314484825670304,0.34301026790795885,0.34250490642173714
2021-01-07,0.3134058824626161,0.343422482551761,0.343171634985623
2021-01-08,0.31371468328251534,0.3439635639630724,0.3423217527544121
2021-01-11,0.31238607837152294,0.3428514313079105,0.3447624903205664
2021-01-12,0.31222344449150935,0.3428614350509508,0.34491512045753975
2021-01-13,0.3136918730029776,0.3435883667542573,0.34271976024276507
2021-01-14,0.31315089458666456,0.34309971543000606,0.3437493899833293
2021-01-15,0.31294823683532125,0.34389322174549425,0.3431585414191845
2021-01-19,0.3123614294293334,0.3427624359652758,0.34487613460539085
2021-01-20,0.3141781583814124,0.34260099419021195,0.34322084742837555
2021-01-21,0.31446038641258145,0.34255714251018604,0.34298247107723245
2021-01-22,0.31443427111132777,0.34274717379387654,0.3428185550947957
2021-01-25,0.31464647838598525,0.34157656077425824,0.3437769608397564
2021-01-26,0.31595509257343746,0.3419320782070693,0.3421128292194934
2021-01-27,0.31698529616973375,0.34414025422796324,0.33887444960230295
2021-01-28,0.31886815802709617,0.3428821616616079,0.33824968031129593
2021-01-29,0.31965239943626683,0.3437090764027747,0.3366385241609585
2021-02-01,0.3201966035345438,0.3431376654291259,0.33666573103633035
2021-02-02,0.3172564405445031,0.34488734183289654,0.3378562176226004
2021-02-03,0.3168818442434486,0.34618434196292197,0.33693381379362936
2021-02-04,0.31662167046497025,0.3452708093599765,0.33810752017505324
2021-02-05,0.3196835186606327,0.3427135796721329,0.3376029016672345
2021-02-08,0.3203295457346284,0.33980412091672635,0.3398663333486452
2021-02-09,0.3198073511253166,0.3400312628700137,0.3401613860046696
2021-02-10,0.31954804321278574,0.34081938677443907,0.33963257001277514
2021-02-11,0.3187095003525278,0.34087705815632857,0.3404134414911436
2021-02-12,0.3193822022214436,0.3406896645478283,0.33992813323072824
2021-02-16,0.31927235934551534,0.34162276860838287,0.3391048720461018
2021-02-17,0.31962178571885175,0.3428185622685866,0.3375596520125617
2021-02-18,0.320244079786348,0.3425389594272151,0.33721696078643687
2021-02-19,0.3199472370797636,0.34120214777762653,0.33885061514260983
2021-02-22,0.3202613026215465,0.34187607273833004,0.3378626246401233
2021-02-23,0.3211749956481952,0.3405844084432055,0.3382405959085994
2021-02-24,0.3199738855058755,0.3391526731519429,0.34087344134218167
2021-02-25,0.3204093072191272,0.3399285788623868,0.33966211391848594
2021-02-26,0.32029367688637084,0.3406475576493929,0.3390587654642362
2021-03-01,0.32008638577337456,0.3408721685615368,0.33904144566508865
2021-03-02,0.32031385080960256,0.342077357127226,0.3376087920631714
2021-03-03,0.3212022649344122,0.3425603660710664,0.33623736899452145
2021-03-04,0.32494393802138677,0.34168300005859636,0.33337306192001676
2021-03-05,0.3237946396634604,0.3411620397741336,0.335043320562406
2021-03-08,0.3243974995630391,0.3400438291467327,0.33555867129022826
2021-03-09,0.3251820866609008,0.3394399301309425,0.33537798320815676
2021-03-10,0.32509853164665803,0.33926159790841864,0.33563987044492327
2021-03-11,0.3243920183564905,0.3420063027400035,0.333601678903506
2021-03-12,0.32371258307269996,0.3421130506982372,0.3341743662290627
2021-03-15,0.32296264826491844,0.3426347241572479,0.33440262757783373
2021-03-16,0.32284822528716933,0.3413012968961833,0.3358504778166474
2021-03-17,0.32257433875025165,0.3415051406882953,0.33592052056145316
2021-03-18,0.32307678602595946,0.3411641131826897,0.33575910079135074
2021-03-19,0.32257326309286843,0.3427293243101796,0.3346974125969519
2021-03-22,0.3222411812871798,0.3431225679321935,0.3346362507806266
2021-03-23,0.32518911784071697,0.3415742564247619,0.3332366257345212
2021-03-24,0.3242882087358558,0.34087218036622413,0.3348396108979202
2021-03-25,0.32349809519044237,0.3406969283443043,0.3358049764652532
2021-03-26,0.32107301400445387,0.34018856921558077,0.3387384167799653
2021-03-29,0.323083336039824,0.33983562267431516,0.33708104128586097
2021-03-30,0.32187182703210615,0.3414646831934065,0.33666348977448723
2021-03-31,0.32215670172440386,0.34163392810001186,0.3362093701755842
2021-04-01,0.3224212038116047,0.3407622252860225,0.3368165709023729
2021-04-05,0.324652525102901,0.3392270245795855,0.3361204503175135
2021-04-06,0.3243057977243768,0.3406032758205729,0.33509092645505023
2021-04-07,0.3243257206248151,0.3401022097445741,0.33557206963061076
2021-04-08,0.3257622424249363,0.34032868207992156,0.3339090754951421
2021-04-09,0.3274393229804011,0.33873547595534365,0.3338252010642553
2021-04-12,0.3274066577010408,0.33939954145100976,0.33319380084794925
2021-04-13,0.33008572182830737,0.33913809885864765,0.33077617931304487
2021-04-14,0.3292921332796127,0.33779500729065504,0.3329128594297324
2021-04-15,0.33033985639181496,0.3378162056172521,0.3318439379909328
2021-04-16,0.329457030145601,0.3366706096158849,0.3338723602385141
2021-04-19,0.32991398457238674,0.33690214617534053,0.3331838692522727
2021-04-20,0.3304123121564654,0.3352487048277226,0.334338983015812
2021-04-21,0.3278809088731683,0.3359066327110588,0.3362124584157729
2021-04-22,0.32643545761412585,0.337260494004017,0.33630404838185723
2021-04-23,0.3259705984168071,0.3369860723669982,0.33704332921619473
2021-04-26,0.3247846245179852,0.3392146764462928,0.33600069903572205
2021-04-27,0.3243191858376293,0.3396073771990047,0.33607343696336595
2021-04-28,0.32411224886554657,0.34024213275624077,0.33564561837821266
2021-04-29,0.3255070282299274,0.3417083607532611,0.33278461101681156
2021-04-30,0.32560479376721363,0.34129129224995813,0.3331039139828283
2021-05-03,0.32561744277584803,0.3427249048258612,0.3316576523982908
2021-05-04,0.32630109824075454,0.34209272037567096,0.3316061813835745
2021-05-05,0.3271789338418469,0.34195583332775353,0.3308652328303996
2021-05-06,0.3282953327927897,0.3394056337263882,0.33229903348082207
2021-05-07,0.3282202897920826,0.33963394444802747,0.3321457657598899
2021-05-10,0.32977922956686184,0.33999378762285115,0.33022698281028706
2021-05-11,0.3306784568860152,0.3413261918252984,0.32799535128868645
2021-05-12,0.3327809810135248,0.33916280504292196,0.3280562139435532
2021-05-13,0.3322224219161581,0.33726678559247475,0.3305107924913672
2021-05-14,0.32991356021058404,0.3399917114530599,0.33009472833635606
2021-05-17,0.33081109166457734,0.3406623659103647,0.32852654242505797
2021-05-18,0.33095904518490893,0.34140923271909346,0.3276317220959976
2021-05-19,0.3302246203255648,0.34142927714989685,0.32834610252453833
2021-05-20,0.3309324152621816,0.34375878211238226,0.3253088026254361
2021-05-21,0.3307269796125108,0.3427103518051359,0.3265626685823533
2021-05-24,0.33090160534451446,0.34233655610086144,0.3267618385546241
2021-05-25,0.33100291535926674,0.3427530173917849,0.32624406724894844
2021-05-26,0.3296454013091396,0.3448584709076754,0.32549612778318493
2021-05-27,0.3291959313779821,0.34501034357748644,0.32579372504453147
2021-05-28,0.32766600443350524,0.34636964710515195,0.32596434846134287
2021-06-01,0.3281056014432789,0.34644959938070985,0.32544479917601143
2021-06-02,0.32805934413784715,0.34663894582661675,0.32530171003553615
2021-06-03,0.3287035386097033,0.3458663870368692,0.3254300743534276
2021-06-04,0.32860061344901803,0.34523717241081275,0.32616221414016927
2021-06-07,0.32914778911204123,0.3452523281225864,0.32559988276537233
2021-06-08,0.3289924166325092,0.34638870861843757,0.32461887474905327
2021-06-09,0.33029402411035513,0.34584157775193897,0.32386439813770584
2021-06-10,0.33121047600343756,0.3457408770292134,0.323048646967349
2021-06-11,0.3315228632680306,0.3452264262797003,0.3232507104522691
2021-06-14,0.3312248280857514,0.34584379985910196,0.32293137205514655
2021-06-15,0.3315303188219438,0.34459401284171975,0.32387566833633635
2021-06-16,0.3312295232922131,0.3453210253263717,0.3234494513814152
2021-06-17,0.33020476291954887,0.3458519026284488,0.3239433344520025
2021-06-18,0.3317480008403086,0.34685534376431043,0.32139665539538104
2021-06-21,0.3313371636413483,0.3472616593768279,0.3214011769818238
2021-06-22,0.3333941292999304,0.347273180979464,0.3193326897206056
2021-06-23,0.33129679763567743,0.3497087523220493,0.31899445004227334
2021-06-24,0.3313311851576922,0.34935439477661384,0.3193144200656939
2021-06-25,0.33212921534452994,0.34897403237212254,0.3188967522833475
2021-06-28,0.33296802811508486,0.3491767022963575,0.31785526958855764
2021-06-29,0.33242886956570017,0.35017384258880196,0.31739728784549787
2021-06-30,0.33199922231518814,0.349007015839362,0.31899376184544986
2021-07-01,0.3318418363380485,0.3492089848565211,0.31894917880543056
2021-07-02,0.33346581308633466,0.34752127391668863,0.31901291299697665
